date;open;close
2019-01-10;334.40;344.97
2019-01-09;335.50;338.53
2019-01-08;341.96;335.35
2019-01-07;321.72;334.96
2019-01-04;306.00;317.69
2019-01-03;307.00;300.36
2019-01-02;306.10;310.12
2018-12-31;337.79;332.80
2018-12-28;323.10;333.87
2018-12-27;319.84;316.13
2018-12-26;300.00;326.09
2018-12-24;313.50;295.39
2018-12-21;317.40;319.77
2018-12-20;327.05;315.38
2018-12-19;337.60;332.97
2018-12-18;350.54;337.03
2018-12-17;362.00;348.42
2018-12-14;375.00;365.71
2018-12-13;370.15;376.79
2018-12-12;369.42;366.60
2018-12-11;369.91;366.76
2018-12-10;360.00;365.15
2018-12-07;369.00;357.97
2018-12-06;356.01;363.06
2018-12-04;356.05;359.70
2018-12-03;360.00;358.49
2018-11-30;341.83;350.48
2018-11-29;347.00;341.17
2018-11-28;345.99;347.87
2018-11-27;340.05;343.92
2018-11-26;325.00;346.00
2018-11-23;334.35;325.83
2018-11-21;352.00;338.19
2018-11-20;341.75;347.49
2018-11-19;356.34;353.47
2018-11-16;345.19;354.31
2018-11-15;342.33;348.44
2018-11-14;342.70;344.00
2018-11-13;333.16;338.73
2018-11-12;348.37;331.28
2018-11-09;349.00;350.51
2018-11-08;348.50;351.40
2018-11-07;343.34;348.16
2018-11-06;339.07;341.06
2018-11-05;340.50;341.40
2018-11-02;343.74;346.41
2018-11-01;338.26;344.28
2018-10-31;332.54;337.32
2018-10-30;328.39;329.90
2018-10-29;337.47;334.85
2018-10-26;308.25;330.90
2018-10-25;317.22;314.86
2018-10-24;301.05;288.50
2018-10-23;263.87;294.14
2018-10-22;260.68;260.95
2018-10-19;267.39;260.00
2018-10-18;269.29;263.91
2018-10-17;282.40;271.78
2018-10-16;265.70;276.59
2018-10-15;259.06;259.59
2018-10-12;261.00;258.78
2018-10-11;257.53;252.23
2018-10-10;264.61;256.88
2018-10-09;255.25;262.80
2018-10-08;264.52;250.56
2018-10-05;274.65;261.95
2018-10-04;293.95;281.83
2018-10-03;303.33;294.80
2018-10-02;313.95;301.02
2018-10-01;305.77;310.70
2018-09-28;270.26;264.77
2018-09-27;312.90;307.52
2018-09-26;301.91;309.58
2018-09-25;300.00;300.99
2018-09-24;298.48;299.68
2018-09-21;297.70;299.10
2018-09-20;303.56;298.33
2018-09-19;280.51;299.02
2018-09-18;296.69;284.96
2018-09-17;290.04;294.84
2018-09-14;288.76;295.20
2018-09-13;288.02;289.46
2018-09-12;281.44;290.54
2018-09-11;279.47;279.44
2018-09-10;273.26;285.50
2018-09-07;260.10;263.24
2018-09-06;284.80;280.95
2018-09-05;285.05;280.74
2018-09-04;296.94;288.95
2018-08-31;302.00;301.66
2018-08-30;302.26;303.15
2018-08-29;310.27;305.01
2018-08-28;318.41;311.86
2018-08-27;318.00;319.27
2018-08-24;320.70;322.82
2018-08-23;319.14;320.10
2018-08-22;320.87;321.64
2018-08-21;310.61;321.90
2018-08-20;291.70;308.44
2018-08-17;323.50;305.50
2018-08-16;339.91;335.45
2018-08-15;341.91;338.69
2018-08-14;358.45;347.64
2018-08-13;361.13;356.41
2018-08-10;354.00;355.49
2018-08-09;365.55;352.45
2018-08-08;369.09;370.34
2018-08-07;343.84;379.57
2018-08-06;345.46;341.99
2018-08-03;347.81;348.17
2018-08-02;328.44;349.54
2018-08-01;297.99;300.84
2018-07-31;292.25;298.14
2018-07-30;295.90;290.17
2018-07-27;307.25;297.18
2018-07-26;304.85;306.65
2018-07-25;296.74;308.74
2018-07-24;304.42;297.43
2018-07-23;301.84;303.20
2018-07-20;321.23;313.58
2018-07-19;316.33;320.23
2018-07-18;325.00;323.85
2018-07-17;308.81;322.69
2018-07-16;311.71;310.10
2018-07-13;315.58;318.87
2018-07-12;321.43;316.71
2018-07-11;315.80;318.96
2018-07-10;324.56;322.47
2018-07-09;311.99;318.51
2018-07-06;304.95;308.90
2018-07-05;313.76;309.16
2018-07-03;331.75;310.86
2018-07-02;360.07;335.07
2018-06-29;353.33;342.95
2018-06-28;348.66;349.93
2018-06-27;345.00;344.50
2018-06-26;336.05;342.00
2018-06-25;330.12;333.01
2018-06-22;351.54;333.63
2018-06-21;362.00;347.51
2018-06-20;358.04;362.22
2018-06-19;365.16;352.55
2018-06-18;355.40;370.83
2018-06-15;353.84;358.17
2018-06-14;347.63;357.72
2018-06-13;346.71;344.78
2018-06-12;344.70;342.77
2018-06-11;322.51;332.10
2018-06-08;319.00;317.66
2018-06-07;316.15;316.09
2018-06-06;300.50;319.50
2018-06-05;297.70;291.13
2018-06-04;294.34;296.74
2018-06-01;285.86;291.82
2018-05-31;287.21;284.73
2018-05-30;283.29;291.72
2018-05-29;278.51;283.76
2018-05-25;277.63;278.85
2018-05-24;278.40;277.85
2018-05-23;277.76;279.07
2018-05-22;287.76;275.01
2018-05-21;281.33;284.49
2018-05-18;285.90;284.54
2018-05-17;285.90;284.54
2018-05-16;283.83;286.48
2018-05-15;285.01;284.18
2018-05-14;303.32;291.97
2018-05-11;307.70;301.06
2018-05-10;307.50;305.02
2018-05-09;300.41;306.85
2018-05-08;300.80;301.97
2018-05-07;297.50;302.77
2018-05-04;283.00;294.09
2018-05-03;278.79;284.45
2018-05-02;298.57;301.15
2018-05-01;293.51;299.92
2018-04-30;293.61;293.90
2018-04-27;285.37;294.08
2018-04-26;278.75;285.48
2018-04-25;283.50;280.69
2018-04-24;285.00;283.46
2018-04-23;291.29;283.37
2018-04-20;295.17;290.24
2018-04-19;291.08;300.08
2018-04-18;291.08;293.35
2018-04-17;288.87;287.69
2018-04-16;299.00;291.21
2018-04-13;303.60;300.34
2018-04-12;302.32;294.08
2018-04-11;300.74;300.93
2018-04-10;298.97;304.70
2018-04-09;300.37;289.66
2018-04-06;301.00;299.30
2018-04-05;289.34;305.72
2018-04-04;252.78;286.94
2018-04-03;269.82;267.53
2018-04-02;256.26;252.48
2018-03-29;256.49;266.13
2018-03-28;264.58;257.78
2018-03-27;304.00;279.18
2018-03-26;307.34;304.18
2018-03-23;311.25;301.54
2018-03-22;313.89;309.10
2018-03-21;310.25;316.53
2018-03-20;314.87;310.55
2018-03-19;316.50;313.56
2018-03-16;325.96;321.35
2018-03-15;329.38;325.60
2018-03-14;336.76;326.63
2018-03-13;344.92;341.84
2018-03-12;328.61;345.51
2018-03-09;324.10;327.17
2018-03-08;332.86;329.10
2018-03-07;325.44;332.30
2018-03-06;333.75;328.20
2018-03-05;332.39;333.35
2018-03-02;326.98;335.12
2018-03-01;345.01;330.93
2018-02-28;352.57;343.06
2018-02-27;356.25;350.99
2018-02-26;353.50;357.42
2018-02-23;347.83;352.05
2018-02-22;335.53;346.17
2018-02-21;336.03;333.30
2018-02-20;334.47;334.77
2018-02-16;332.50;335.49
2018-02-15;324.50;334.07
2018-02-14;320.84;322.31
2018-02-13;315.02;323.66
2018-02-12;316.13;315.73
2018-02-09;319.93;310.42
2018-02-08;343.31;315.23
2018-02-07;338.99;345.00
2018-02-06;325.21;333.97
2018-02-05;337.97;333.13
2018-02-02;348.44;343.75
2018-02-01;351.00;349.25
2018-01-31;347.51;354.31
2018-01-30;345.14;345.82
2018-01-29;339.85;349.53
2018-01-26;341.50;342.85
2018-01-25;348.27;337.64
2018-01-24;354.58;345.89
2018-01-23;360.00;352.79
2018-01-22;349.40;351.56
2018-01-19;345.00;350.02
2018-01-18;345.67;344.57
2018-01-17;340.47;347.16
2018-01-16;337.54;340.06
2018-01-12;338.63;336.22
2018-01-11;335.24;337.95
2018-01-10;332.20;334.80
2018-01-09;335.16;333.69
2018-01-08;316.00;336.41
2018-01-05;316.62;316.58
2018-01-04;312.87;314.62
2018-01-03;321.00;317.25
2018-01-02;312.00;320.53
